Occupation,Women,Men,Women_to_men_ratio
Chief executives,2520,2983,84.5
General and operations managers,1347,1689,79.8
Marketing managers,1746,1911,91.4
Sales managers,1688,2297,73.5
Computer and information systems managers,2192,2313,94.8
Financial managers,1497,2100,71.3
Human resources managers,1706,1891,90.2
Purchasing managers,1585,1879,84.4
Transportation  storage and distribution managers,1219,1318,92.5
Construction managers,1431,1747,81.9
Education and childcare administrators,1469,1870,78.6
Food service managers,924,1121,82.4
Medical and health services managers,1540,1914,80.5
"Property,real estate and community association ",1143,1521,75.1
Social and community service managers,1341,1501,89.3
All other Managers,1536,1887,81.4
Compliance officers,1377,1597,86.2
Human resources workers,1259,1367,92.1
Training and development specialists,1222,1648,74.2
Logisticians,994,1207,82.4
Project management specialists,1661,1919,86.6
Management analysts,1817,1993,91.2
Market research analysts and marketing specialists,1552,1771,87.6
Business operations specialists,1224,1737,70.5
Accountants and auditors,1504,1644,91.5
Financial and investment analysts,1643,1760,93.4
Personal financial advisors,1552,2082,74.5
Credit counselors and loan officers,1294,1457,88.8
Other financial specialists,1233,2386,51.7
Computer systems analysts,1487,1894,78.5
Computer programmers,1760,1906,92.3
Software developers,2020,2296,88
Computer support specialists,1348,1478,91.2
Computer occupations,1430,1631,87.7
Operations research analysts,1665,2208,75.4
Other mathematical science occupations,1474,1668,88.4
Architects,1691,1893,89.3
Civil engineers,1465,1839,79.7
Industrial engineers,1682,1766,95.2
Engineers,1904,1953,97.5
Medical scientists,1537,2290,67.1
Physical scientists,1649,1742,94.7
Social and human service assistants,962,967,99.5
Lawyers,2330,2505,93
Paralegals and legal assistants,1125,1425,78.9
Postsecondary teachers,1565,1852,84.5
Elementary and middle school teachers,1220,1370,89.1
Secondary school teachers,1213,1347,90.1
Other teachers and instructors,1124,1242,90.5
Teaching assistants,685,772,88.7
Graphic designers,1221,1294,94.4
Other designers,1408,1495,94.2
Producers and directors,1609,1312,122.6
Pharmacists,2180,2238,97.4
Other physicians,2907,2920,99.6
Physical therapists,1526,1715,89
Registered nurses,1409,1657,85
Clinical laboratory technologists and technicians,1089,1172,92.9
Radiologic technologists and technicians,1321,1483,89.1
Pharmacy technicians,886,992,89.3
Licensed practical and licensed vocational nurses,984,1018,96.7
Home health aides,625,709,88.2
Personal care aides,668,751,88.9
Nursing assistants,695,765,90.8
Medical assistants,738,904,81.6
Other healthcare support workers,790,919,86
Correctional officers and jailers,914,1133,80.7
Police officers,1034,1363,75.9
Security guards and gambling surveillance officers,717,811,88.4
Chefs and head cooks,690,854,80.8
First-line supervisors of food preparation and serving workers,677,819,82.7
Cooks,608,682,89.1
Food preparation workers,600,645,93
Bartenders,745,768,97
Fast food and counter workers,595,639,93.1
Waiters and waitresses,617,684,90.2
Dining room and cafeteria attendants and bartender helpers,588,607,96.9
First-line supervisors of housekeeping and janitorial workers,699,1050,66.6
Janitors and building cleaners,626,745,84
Maids and housekeeping cleaners,611,686,89.1
Recreation workers,716,801,89.4
First-line supervisors of retail sales workers,904,1094,82.6
First-line supervisors of non-retail sales workers,1151,1464,78.6
Cashiers,602,616,97.7
Retail salespersons,710,988,71.9
Advertising sales agents,1398,1728,80.9
Insurance sales agents,927,1310,70.8
Real estate brokers and sales agents,1215,1444,84.1
First-line supervisors of office and administrative support workers,1075,1209,88.9
Customer service representatives,799,918,87
Receptionists and information clerks,749,770,97.3
Couriers and messengers,711,885,80.3
Postal service mail carriers,1015,1194,85
Data entry keyers,809,819,98.8
Insurance claims and policy processing clerks,896,1062,84.4
Miscellaneous agricultural workers,598,704,84.9
Construction laborers,711,870,81.7
First-line supervisors of production and operating workers,914,1263,72.4
Other assemblers and fabricators,758,852,89
Bakers,656,726,90.4
Other metal workers and plastic workers,684,906,75.5
Packaging and filling machine operators and tenders,698,752,92.8
Other production workers,771,893,86.3
Supervisors of transportation and material moving workers,791,1127,70.2
Driver/sales workers and truck drivers,734,1016,72.2
Industrial truck and tractor operators,786,812,96.8
Cleaners of vehicles and equipment,605,704,85.9
Stockers and order fillers,667,730,91.4